id_cliente;cod_articulo_magic
0000|1595125;598801
0000|1812318;599228
0000|1837596;599212
0000|1600171;800060
0000|1595868;599228
0000|1837593;522354
0000|1591887;517262
0000|1601428;599111
0000|1813263;599876
0000|1597327;800060
0000|1740576;599212
0000|1837594;523125
0000|1829807;599212
0000|1604698;522512
0000|1597131;517146
0000|1602385;599212
0000|1837590;523437
0000|1796430;522713
0000|1705924;522795
0000|1639144;523519
0000|1638646;517262
0000|1813262;522632
0000|1598830;500354
0000|1639143;522633
0000|1638648;599876
0000|1602285;599228
0000|1599482;599212
0000|1639149;599590
0000|1592476;800058
0000|1596125;599228
0000|1590473;522352
0000|1593100;76643
0000|1708734;517140
0000|1594973;800060
0000|1837595;522442
0000|1593110;598901
0000|1594181;522353
0000|1705928;517262
0000|1722688;76643
0000|1722568;800060
0000|1797890;599837
0000|1705926;598901
0000|1638649;599837
0000|1770183;522856
0000|1600328;522856
0000|1603433;522713
0000|1599470;599228
0000|1601463;500264
0000|1600286;599837
0000|1579667;522633
0000|1639148;599218
0000|1837589;523125
0000|1593043;522713
0000|1517017;522856
0000|1587636;522721
0000|1596046;800071
0000|1602254;523595
0000|1604440;517146
0000|1524033;599212
0000|1597214;599837
0000|1813261;800071
0000|1638644;522577
0000|1590478;522633
0000|1595394;522355
0000|1591985;598801
0000|1813950;76643
0000|1705923;516209
0000|1595125;598901
0000|1812318;517140
0000|1837596;800058
0000|1600171;517263
0000|1595868;523595
0000|1837593;522442
0000|1591887;517146
0000|1601428;599212
0000|1813263;599111
0000|1597327;599587
0000|1740576;522856
0000|1837594;523595
0000|1829807;522713
0000|1604698;523595
0000|1597131;76643
0000|1602385;522713
0000|1837590;599831
0000|1796430;523519
0000|1705924;599837
0000|1639144;500264
0000|1638646;500354
0000|1813262;523278
0000|1598830;522795
0000|1639143;599228
0000|1638648;517146
0000|1602285;800071
0000|1599482;599590
0000|1639149;522353
0000|1592476;522575
0000|1596125;522721
0000|1590473;599228
0000|1593100;598801
0000|1708734;622631
0000|1594973;598901
0000|1837595;598801
0000|1593110;522713
0000|1594181;598801
0000|1705928;522856
0000|1722688;523538
0000|1722568;522354
0000|1797890;800071
0000|1705926;522632
0000|1638649;522713
0000|1770183;517263
0000|1600328;523125
0000|1603433;500264
0000|1599470;522713
0000|1601463;509826
0000|1600286;517140
0000|1579667;599111
0000|1639148;522352
0000|1837589;517297
0000|1593043;599228
0000|1517017;76643
0000|1587636;522577
0000|1596046;599590
0000|1602254;517263
0000|1604440;500354
0000|1524033;517140
0000|1597214;522713
0000|1813261;500354
0000|1638644;500354
0000|1590478;522721
0000|1595394;598801
0000|1591985;522352
0000|1813950;522354
0000|1705923;599876
0000|1595125;599590
0000|1812318;522577
0000|1837596;522442
0000|1600171;522352
0000|1595868;598801
0000|1837593;598801
0000|1591887;522856
0000|1601428;522512
0000|1813263;522795
0000|1597327;517263
0000|1740576;599111
0000|1837594;522721
0000|1829807;523278
0000|1604698;522795
0000|1597131;522577
0000|1602385;622631
0000|1837590;598901
0000|1796430;599212
0000|1705924;522355
0000|1639144;517146
0000|1638646;522713
0000|1813262;622631
0000|1598830;517263
0000|1639143;599837
0000|1638648;800060
0000|1602285;522353
0000|1599482;516209
0000|1639149;515614
0000|1592476;599590
0000|1596125;76643
0000|1590473;523439
0000|1593100;523439
0000|1708734;522577
0000|1594973;599837
0000|1837595;517262
0000|1593110;599837
0000|1594181;800054
0000|1705928;599587
0000|1722688;599218
0000|1722568;517146
0000|1797890;500264
0000|1705926;523437
0000|1638649;523278
0000|1770183;522442
0000|1600328;599590
0000|1603433;522512
0000|1599470;522795
0000|1601463;599212
0000|1600286;598801
0000|1579667;523538
0000|1639148;598801
0000|1837589;523278
0000|1593043;522512
0000|1517017;522353
0000|1587636;515614
0000|1596046;517146
0000|1602254;800071
0000|1604440;523439
0000|1524033;622631
0000|1597214;522662
0000|1813261;522713
0000|1638644;522442
0000|1590478;522634
0000|1595394;800060
0000|1591985;522355
0000|1813950;523437
0000|1705923;523437
0000|1595125;517263
0000|1812318;599212
0000|1837596;522633
0000|1600171;523519
0000|1595868;522577
0000|1837593;517262
0000|1591887;522795
0000|1601428;500264
0000|1813263;522355
0000|1597327;800054
0000|1740576;522352
0000|1837594;598901
0000|1829807;522662
0000|1604698;76643
0000|1597131;500354
0000|1602385;599587
0000|1837590;522355
0000|1796430;522795
0000|1705924;522353
0000|1639144;522856
0000|1638646;517263
0000|1813262;599212
0000|1598830;599212
0000|1639143;522713
0000|1638648;599212
0000|1602285;523519
0000|1599482;509826
0000|1639149;523278
0000|1592476;517146
0000|1596125;598801
0000|1590473;800060
0000|1593100;500264
0000|1708734;76643
0000|1594973;523538
