cod_articulo_magic,desc_articulo
20038,PREFORMA DE 38 GRS CRISTAL (IMMEX) PT
23519,PREFORMA DE 44.5 GRS CRISTAL (MAQUILA)
24307,PREFORMA DE 37 GRS CRISTAL PT (MAQUILA)
24742,PREFORMA DE 21 GRS CRISTAL PARA AGUA PT (MAQUILA)
25064,PREFORMA DE 19 GRS CRISTAL PT (MAQUILA)
25065,PREFORMA DE 19 GRS CRISTAL (MAQUILA)
25327,PREFORMA DE 19.8 GRS CRISTAL PT (MAQUILA)
25390,PREFORMA DE 20.2 GRS CRISTAL (MAQUILA)
25414,PREFORMA DE 47.45 GRS CRISTAL PT (MAQUILA)
25429,PREFORMA DE 19.96 GRS CRISTAL PT (MAQUILA)
25430,PREFORMA DE 19.96 GRS CRISTAL (MAQUILA)
25643,PREFORMA DE 19.43 GRS CRISTAL (MAQUILA)
26352,PREFORMA DE 25.20 GRS CRISTAL PT (MAQUILA)
27534,PREFORMA DE 52 GRS CRISTAL CON UV PT - INYECCION
28063,PREFORMA DE 20.76 GRS CRISTAL CON UV (MAQUILA)
28390,PREFORMA DE 58.15 GRS CRISTAL (MAQUILA)
28941,PREFORMA DE 24.1 GRS CRISTAL PT (MAQUILA)
29466,PREFORMA DE 42 GRS CRISTAL PT (MAQUILA)
30206,PREFORMA DE 58.15 GRS VERDE (MAQUILA)
31799,PREFORMA DE 43.25 GRS VERDE PT (MAQUILA)
31831,PREFORMA DE 47.45 GRS VERDEL MP (MAQUILA)
31832,PREFORMA DE 47.45 GRS VERDE PT (MAQUILA)
43725,PREFORMA DE 54 GRS VERDE CON PCR CUELLO CORTO INYECCION PRODUCTO TERMINADO
52471,BASE DE BEBIDA KIWI FRESA BB-MX-140355/2U  PT
52491,BASE DE BEBIDA TORONJA AURRERA BG-MX-041/2U PT
53086,PREFORMA DE 21.3 GRS CRISTAL AGUA MAQUILA MP
53223,BASE DE BEBIDA COLA CERO BG-MX-140362/2U PT
53227,TAPA PLASTICA MORADA (CUELLO 1881) PT
53515,BASE DE BEBIDA GASIFICADA BIG FRESH UVA BG-MX-048/4U PT
54124,COLORANTE COLOR AMARILLO 5 COD 381
54144,ENVASE DE LATA DE ALUMINIO DE  BOOST MANGO MARACUYA FUTBOL  0.355 LTS
50432,JARABE TERMINADO TORONJA EXPORTACION
