id_cliente;cod_articulo_magic
0030|1625338;523439
0030|1551546;523438
0030|1628873;522354
0030|1550076;599111
0030|1549729;599832
0030|1551314;622631
0030|1551544;509600
0030|1551554;522713
0030|1549730;522634
0030|1551545;522634
0030|1551550;522632
0030|1590572;599876
0030|1549984;598801
0030|1549727;598801
0030|1551557;500330
0030|1551337;76643
0030|1549705;500330
0030|1783386;509600
0030|1551548;522354
0030|1549701;523438
0030|1551539;522373
0030|1549711;599876
0030|1551304;800071
0030|1627664;516209
0030|1549943;522713
0030|1549718;598801
0030|1796574;522442
0030|1549952;516209
0030|1549735;509600
0030|1550083;599837
0030|1705570;599590
0030|1549722;523278
0030|1625338;800054
0030|1551546;599837
0030|1628873;599212
0030|1550076;523595
0030|1549729;517263
0030|1551314;599218
0030|1551544;522373
0030|1551554;517140
0030|1549730;800054
0030|1551545;622631
0030|1551550;500264
0030|1590572;800054
0030|1549984;516209
0030|1549727;516209
0030|1551557;523438
0030|1551337;522373
0030|1549705;523438
0030|1783386;76643
0030|1551548;509826
0030|1549701;599876
0030|1551539;509600
0030|1549711;598801
0030|1551304;523437
0030|1627664;598801
0030|1549943;599228
0030|1549718;522633
0030|1796574;500264
0030|1549952;599218
0030|1549735;522373
0030|1550083;522795
0030|1705570;599587
0030|1549722;800071
0030|1625338;522373
0030|1551546;522352
0030|1628873;800069
0030|1550076;598801
0030|1549729;523437
0030|1551314;517297
0030|1551544;523439
0030|1551554;522442
0030|1549730;522442
0030|1551545;523438
0030|1551550;599565
0030|1590572;522632
0030|1549984;515614
0030|1549727;800058
0030|1551557;599876
0030|1551337;599832
0030|1549705;599876
0030|1783386;522373
0030|1551548;598801
0030|1549701;517146
0030|1551539;515614
0030|1549711;516209
0030|1551304;523278
0030|1627664;500330
0030|1549943;598801
0030|1549718;800054
0030|1796574;523439
0030|1549952;599590
0030|1549735;599832
0030|1550083;522633
0030|1705570;522353
0030|1549722;523437
0030|1625338;599831
0030|1551546;516209
0030|1628873;522633
0030|1550076;516209
0030|1549729;523278
